Date,Timepoint,PLUG.ID,Genotype,Species,Photo.Number,Tank,Treatment,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
5/10/19,Time0,2363,MC_289,M. capitata,7,1,Ambient,134.822,74.198,105.873,139.75,117.08,87.132,
5/10/19,Time0,1721,MC_289,M. capitata,7,1,Ambient,134.822,74.198,105.873,130.916,109.36,80.578,
5/10/19,Time0,2530,MC_289,M. capitata,7,1,Ambient,134.822,74.198,105.873,144.909,122.335,94.369,
5/10/19,Time0,2754,MC_289,M. capitata,7,1,Ambient,134.822,74.198,105.873,125.713,104.019,80.27,
5/10/19,Time0,1535,MC_289,M. capitata,7,1,Ambient,134.822,74.198,105.873,142.892,121.386,97.233,
5/10/19,Time0,2887,PC_1,P. acuta,2,1,Ambient,136.536,75.43,105.921,138.726,116.502,86.072,
5/10/19,Time0,1344,PC_1,P. acuta,2,1,Ambient,136.536,75.43,105.921,152.236,136.474,103.887,
5/10/19,Time0,1213,PC_1,P. acuta,2,1,Ambient,136.536,75.43,105.921,139.706,114.76,85.09,
5/10/19,Time0,1750,PC_1,P. acuta,2,1,Ambient,136.536,75.43,105.921,160.947,145.068,116.695,
5/10/19,Time0,2540,PC_1,P. acuta,2,1,Ambient,136.536,75.43,105.921,128.75,108.015,88.344,
5/10/19,Time0,1207,PC_2,P. acuta,4,1,Ambient,139.822,78.215,106.853,130.246,103.232,76.449,
5/10/19,Time0,1278,PC_2,P. acuta,4,1,Ambient,139.822,78.215,106.853,148.546,126.542,95.256,
5/10/19,Time0,2535,PC_2,P. acuta,4,1,Ambient,139.822,78.215,106.853,159.109,139.16,105.6,
5/10/19,Time0,2010,PC_2,P. acuta,4,1,Ambient,139.822,78.215,106.853,141.239,119.15,89.966,
5/10/19,Time0,2009,PC_2,P. acuta,4,1,Ambient,139.822,78.215,106.853,148.374,126.146,95.435,
5/10/19,Time0,2081,PC_2,P. acuta,4,1,Ambient,139.822,78.215,106.853,142.873,118.98,92.754,
5/10/19,Time0,1654,PC_3,P. acuta,6,1,Ambient,136.882,78.018,107.472,113.456,87.38,67.019,
5/10/19,Time0,1079,PC_3,P. acuta,6,1,Ambient,136.882,78.018,107.472,138.123,112.507,84.711,
5/10/19,Time0,1638,PC_3,P. acuta,6,1,Ambient,136.882,78.018,107.472,120.487,95.082,73.632,
5/10/19,Time0,1106,PC_3,P. acuta,6,1,Ambient,136.882,78.018,107.472,157.808,137.485,107.017,
5/10/19,Time0,1415,PC_3,P. acuta,6,1,Ambient,136.882,78.018,107.472,151.239,130.428,100.529,
5/10/19,Time0,3000,PC_4,P. acuta,8,1,Ambient,143.999,73.950,112.586,113.188,82.575,63.33,
5/10/19,Time0,1231,PC_4,P. acuta,8,1,Ambient,143.999,73.950,112.586,122.316,97.426,80.224,
5/10/19,Time0,1092,PC_4,P. acuta,8,1,Ambient,143.999,73.950,112.586,130.659,107.573,89.127,
5/10/19,Time0,1101,PC_4,P. acuta,8,1,Ambient,143.999,73.950,112.586,144.018,121.281,97.317,
5/10/19,Time0,2978,PC_4,P. acuta,8,1,Ambient,143.999,73.950,112.586,118.739,91.382,80.576,
5/10/19,Time0,1629,MC_206,M. capitata,9,2,High,146.868,78.495,114.381,99.849,75.132,52.087,
5/10/19,Time0,1773,MC_206,M. capitata,9,2,High,146.868,78.495,114.381,104.056,78.92,58.179,
5/10/19,Time0,1726,MC_206,M. capitata,9,2,High,146.868,78.495,114.381,130.385,105.53,80.946,
5/10/19,Time0,1688,MC_206,M. capitata,9,2,High,146.868,78.495,114.381,112.106,85.88,70.009,
5/10/19,Time0,1078,MC_206,M. capitata,9,2,High,146.868,78.495,114.381,132.089,108.144,91.184,
5/10/19,Time0,1591,MC_291,M. capitata,11,2,High,140.681,73.732,110.979,109.665,82.151,59.535,
5/10/19,Time0,2396,MC_291,M. capitata,11,2,High,140.681,73.732,110.979,120.41,92.804,70.685,
5/10/19,Time0,1725,MC_291,M. capitata,11,2,High,140.681,73.732,110.979,118.958,92.465,68.676,
5/10/19,Time0,2411,MC_291,M. capitata,11,2,High,140.681,73.732,110.979,132.215,103.595,79.872,
5/10/19,Time0,1178,MC_291,M. capitata,11,2,High,140.681,73.732,110.979,120.317,95.43,75.418,
5/10/19,Time0,2747,MC_248,M. capitata,13,2,High,135.39,71.663,105.179,129.545,105.212,75.282,
5/10/19,Time0,1095,MC_248,M. capitata,13,2,High,135.39,71.663,105.179,137.503,111.068,79.857,
5/10/19,Time0,1468,MC_248,M. capitata,13,2,High,135.39,71.663,105.179,128.191,98.246,69.548,
5/10/19,Time0,2740,MC_248,M. capitata,13,2,High,135.39,71.663,105.179,153.807,135.148,111.292,
5/10/19,Time0,1142,MC_248,M. capitata,13,2,High,135.39,71.663,105.179,119.295,92.476,69.222,dropped and broke top tip off
5/10/19,Time0,1717,MC_289,M. capitata,15,2,High,140.334,73.179,111.639,127.234,100.787,78.401,Mostly dead already
5/10/19,Time0,2875,MC_289,M. capitata,15,2,High,140.334,73.179,111.639,133.758,106.073,81.813,
5/10/19,Time0,1624,MC_289,M. capitata,15,2,High,140.334,73.179,111.639,144.793,120.054,97.18,
5/10/19,Time0,2183,MC_289,M. capitata,15,2,High,140.334,73.179,111.639,138.682,109.276,81.778,
5/10/19,Time0,2023,MC_289,M. capitata,15,2,High,140.334,73.179,111.639,137.191,114.646,104.111,
5/10/19,Time0,1490,PC_1,P. acuta,10,2,High,131.976,68.644,106.837,149.709,131.564,104.503,
5/10/19,Time0,2995,PC_1,P. acuta,10,2,High,131.976,68.644,106.837,116.936,89.694,70.369,
5/10/19,Time0,1222,PC_1,P. acuta,10,2,High,131.976,68.644,106.837,100.739,76.611,61.744,
5/10/19,Time0,1600,PC_1,P. acuta,10,2,High,131.976,68.644,106.837,162.539,143.617,118.165,
5/10/19,Time0,1481,PC_1,P. acuta,10,2,High,131.976,68.644,106.837,105.552,85.133,77.275,
5/10/19,Time0,1215,PC_2,P. acuta,12,2,High,134.624,74.943,105.954,146.744,124.865,99.631,
5/10/19,Time0,1208,PC_2,P. acuta,12,2,High,134.624,74.943,105.954,132.26,108.026,79.925,
5/10/19,Time0,1586,PC_2,P. acuta,12,2,High,134.624,74.943,105.954,147.283,124.992,89.076,
5/10/19,Time0,1326,PC_2,P. acuta,12,2,High,134.624,74.943,105.954,145.099,122.199,90.812,
5/10/19,Time0,1216,PC_2,P. acuta,12,2,High,134.624,74.943,105.954,166.399,150.767,121.694,
5/10/19,Time0,1997,PC_3,P. acuta,14,2,High,134.877,75.023,106.984,145.287,120.408,90.83,
5/10/19,Time0,1317,PC_3,P. acuta,14,2,High,134.877,75.023,106.984,159.91,138.484,107.181,
5/10/19,Time0,2391,PC_3,P. acuta,14,2,High,134.877,75.023,106.984,150.845,127.31,102.393,
5/10/19,Time0,1428,PC_3,P. acuta,14,2,High,134.877,75.023,106.984,150.361,127.837,101.242,
5/10/19,Time0,1196,PC_3,P. acuta,14,2,High,134.877,75.023,106.984,147.876,125.164,104.82,
5/10/19,Time0,1737,PC_4,P. acuta,16,2,High,135.432,70.039,108.38,104.748,79.774,64.371,
5/10/19,Time0,1454,PC_4,P. acuta,16,2,High,135.432,70.039,108.38,132.961,107.562,82.845,
5/10/19,Time0,2397,PC_4,P. acuta,16,2,High,135.432,70.039,108.38,118.08,93.936,82.299,
5/10/19,Time0,2192,PC_4,P. acuta,16,2,High,135.432,70.039,108.38,148.7,124.453,94.896,re-glued
5/10/19,Time0,1425,PC_4,P. acuta,16,2,High,135.432,70.039,108.38,97.694,77.196,75.081,
5/10/19,Time0,1323,MC_206,M. capitata,17,3,High,139.672,73.18,110.352,134.22,109.324,84.279,
5/10/19,Time0,1063,MC_206,M. capitata,17,3,High,139.672,73.18,110.352,110.556,85.257,67.886,
5/10/19,Time0,1327,MC_206,M. capitata,17,3,High,139.672,73.18,110.352,147.282,126.864,106.518,
5/10/19,Time0,1338,MC_206,M. capitata,17,3,High,139.672,73.18,110.352,113.694,88.935,72.406,
5/10/19,Time0,2985,MC_206,M. capitata,17,3,High,139.672,73.18,110.352,109.868,84.716,73.885,
5/10/19,Time0,1328,MC_291,M. capitata,19,3,High,140.083,74.372,110.041,112.124,86.609,66.153,
5/10/19,Time0,2306,MC_291,M. capitata,19,3,High,140.083,74.372,110.041,123.943,95.872,72.429,
5/10/19,Time0,1447,MC_291,M. capitata,19,3,High,140.083,74.372,110.041,129.963,99.689,73.239,
5/10/19,Time0,1321,MC_291,M. capitata,19,3,High,140.083,74.372,110.041,114.574,85.788,64.093,
5/10/19,Time0,1587,MC_291,M. capitata,19,3,High,140.083,74.372,110.041,115.555,91.699,74.487,
5/10/19,Time0,1645,MC_248,M. capitata,21,3,High,133.325,71.205,106.669,124.853,99.671,73.819,
5/10/19,Time0,2005,MC_248,M. capitata,21,3,High,133.325,71.205,106.669,98.14,71.137,52.365,
5/10/19,Time0,1730,MC_248,M. capitata,21,3,High,133.325,71.205,106.669,134.067,108.52,80.301,
5/10/19,Time0,1277,MC_248,M. capitata,21,3,High,133.325,71.205,106.669,150.966,128.583,104.401,Very pale
5/10/19,Time0,1442,MC_248,M. capitata,21,3,High,133.325,71.205,106.669,148.246,128.969,114.533,Pale
5/10/19,Time0,1286,MC_289,M. capitata,23,3,High,134.9,70.707,109.397,122.729,97.864,71.64,
5/10/19,Time0,1341,MC_289,M. capitata,23,3,High,134.9,70.707,109.397,122.844,98.725,73.846,One side pale
5/10/19,Time0,2998,MC_289,M. capitata,23,3,High,134.9,70.707,109.397,154.49,131.959,105.196,One side pale
5/10/19,Time0,2204,MC_289,M. capitata,23,3,High,134.9,70.707,109.397,147.481,120.603,96.779,One side pale
5/10/19,Time0,2750,MC_289,M. capitata,23,3,High,134.9,70.707,109.397,138.233,114.493,94.633,Tips a little pale
5/10/19,Time0,1114,PC_1,P. acuta,18,3,High,137.149,72.115,109.527,123.422,98.833,78.276,
5/10/19,Time0,1060,PC_1,P. acuta,18,3,High,137.149,72.115,109.527,157.082,132.878,102.686,
5/10/19,Time0,2156,PC_1,P. acuta,18,3,High,137.149,72.115,109.527,156.424,133.544,105.433,
5/10/19,Time0,2739,PC_1,P. acuta,18,3,High,137.149,72.115,109.527,134.509,109.969,88.156,
5/10/19,Time0,1999,PC_1,P. acuta,18,3,High,137.149,72.115,109.527,123.293,100.471,85.905,
5/10/19,Time0,1707,PC_2,P. acuta,20,3,High,133.519,69.726,107.583,150.386,130.666,102.226,
5/10/19,Time0,2855,PC_2,P. acuta,20,3,High,133.519,69.726,107.583,146.941,122.618,98.118,
5/10/19,Time0,1570,PC_2,P. acuta,20,3,High,133.519,69.726,107.583,159.255,135.477,104.75,
5/10/19,Time0,2180,PC_2,P. acuta,20,3,High,133.519,69.726,107.583,157.572,137.071,112.403,
5/10/19,Time0,2866,PC_2,P. acuta,20,3,High,133.519,69.726,107.583,126.731,107.292,95.796,
5/10/19,Time0,2733,PC_3,P. acuta,22,3,High,131.537,68.206,105.742,138.089,111.276,84.867,
5/10/19,Time0,2169,PC_3,P. acuta,22,3,High,131.537,68.206,105.742,145.682,118.435,91.312,
5/10/19,Time0,2552,PC_3,P. acuta,22,3,High,131.537,68.206,105.742,135.84,107.359,86.637,
5/10/19,Time0,1769,PC_3,P. acuta,22,3,High,131.537,68.206,105.742,146.453,118.858,94.06,
5/10/19,Time0,1090,PC_3,P. acuta,22,3,High,131.537,68.206,105.742,155.631,133.543,111.149,
5/10/19,Time0,1270,PC_4,P. acuta,24,3,High,131.689,68.465,105.472,128.55,104.638,78.418,One side slightly paler
5/10/19,Time0,2528,PC_4,P. acuta,24,3,High,131.689,68.465,105.472,149.059,125.211,98.075,
5/10/19,Time0,1579,PC_4,P. acuta,24,3,High,131.689,68.465,105.472,138.489,113.958,90.272,
5/10/19,Time0,2988,PC_4,P. acuta,24,3,High,131.689,68.465,105.472,158.204,136.409,110.161,
5/10/19,Time0,2511,PC_4,P. acuta,24,3,High,131.689,68.465,105.472,106.096,81.052,74.347,
5/10/19,Time0,1229,MC_206,M. capitata,25,4,Ambient,141.91,74.649,113.795,90.36,61.856,45.6,
5/10/19,Time0,1236,MC_206,M. capitata,25,4,Ambient,141.91,74.649,113.795,94.872,69.649,55.89,
5/10/19,Time0,1736,MC_206,M. capitata,25,4,Ambient,141.91,74.649,113.795,135.205,108.827,88.336,
5/10/19,Time0,1121,MC_206,M. capitata,25,4,Ambient,141.91,74.649,113.795,137.645,108.738,88.306,
5/10/19,Time0,1258,MC_206,M. capitata,25,4,Ambient,141.91,74.649,113.795,93.675,69.364,61.178,
5/10/19,Time0,2871,MC_206,M. capitata,25,4,Ambient,NA,NA,NA,NA,NA,NA,
5/10/19,Time0,1157,MC_291,M. capitata,27,4,Ambient,141.96,73.933,114.13,108.309,80.605,56.453,
5/10/19,Time0,2212,MC_291,M. capitata,27,4,Ambient,141.96,73.933,114.13,112.562,85.847,64.943,
5/10/19,Time0,1302,MC_291,M. capitata,27,4,Ambient,141.96,73.933,114.13,116.225,86.326,62.838,
5/10/19,Time0,1775,MC_291,M. capitata,27,4,Ambient,141.96,73.933,114.13,104.926,81.826,65.62,
5/10/19,Time0,1084,MC_291,M. capitata,27,4,Ambient,141.96,73.933,114.13,114.599,87.184,72.159,
5/10/19,Time0,1169,MC_248,M. capitata,29,4,Ambient,138.489,72.255,111.294,106.021,76.48,50.399,
5/10/19,Time0,2172,MC_248,M. capitata,29,4,Ambient,138.489,72.255,111.294,132.912,105.857,76.031,
5/10/19,Time0,1308,MC_248,M. capitata,29,4,Ambient,138.489,72.255,111.294,107.473,80.086,62.108,
5/10/19,Time0,1243,MC_248,M. capitata,29,4,Ambient,138.489,72.255,111.294,140.129,112.135,85.336,
5/10/19,Time0,1772,MC_248,M. capitata,29,4,Ambient,138.489,72.255,111.294,124.341,96.235,74.828,A little pale on top
5/10/19,Time0,2393,MC_289,M. capitata,31,4,Ambient,137.796,75.046,110.969,126.256,95.235,70.874,
5/10/19,Time0,1426,MC_289,M. capitata,31,4,Ambient,137.796,75.046,110.969,115.721,88.385,67.207,
5/10/19,Time0,1595,MC_289,M. capitata,31,4,Ambient,137.796,75.046,110.969,126.502,103.199,84.304,
5/10/19,Time0,2153,MC_289,M. capitata,31,4,Ambient,137.796,75.046,110.969,119.298,91.193,72.698,
5/10/19,Time0,1609,MC_289,M. capitata,31,4,Ambient,137.796,75.046,110.969,124.852,98.85,86.875,
5/10/19,Time0,1119,PC_1,P. acuta,26,4,Ambient,133.473,69.186,106.127,123.974,100.879,80.209,
5/10/19,Time0,2388,PC_1,P. acuta,26,4,Ambient,133.473,69.186,106.127,150.895,129.993,104.94,
5/10/19,Time0,1676,PC_1,P. acuta,26,4,Ambient,133.473,69.186,106.127,120.717,97.062,78.068,
5/10/19,Time0,1588,PC_1,P. acuta,26,4,Ambient,133.473,69.186,106.127,137.662,119.567,103.833,
5/10/19,Time0,1319,PC_1,P. acuta,26,4,Ambient,133.473,69.186,106.127,140.866,121.554,106.454,
5/10/19,Time0,1622,PC_2,P. acuta,28,4,Ambient,128.612,67.335,102.738,143.534,125.13,99.818,
5/10/19,Time0,1583,PC_2,P. acuta,28,4,Ambient,128.612,67.335,102.738,147.459,124.326,95.533,
5/10/19,Time0,2864,PC_2,P. acuta,28,4,Ambient,128.612,67.335,102.738,155.974,135.897,109.162,
5/10/19,Time0,1998,PC_2,P. acuta,28,4,Ambient,128.612,67.335,102.738,155.036,134.677,108.653,
5/10/19,Time0,1181,PC_2,P. acuta,28,4,Ambient,128.612,67.335,102.738,162.394,144.478,120.398,
5/10/19,Time0,1296,PC_3,P. acuta,30,4,Ambient,134.255,71.517,108.413,152.354,129.502,98.671,
5/10/19,Time0,1068,PC_3,P. acuta,30,4,Ambient,134.255,71.517,108.413,155.407,131.663,102.82,
5/10/19,Time0,1212,PC_3,P. acuta,30,4,Ambient,134.255,71.517,108.413,150.363,125.417,100.201,
5/10/19,Time0,1297,PC_3,P. acuta,30,4,Ambient,134.255,71.517,108.413,140.718,113.955,93.264,
5/10/19,Time0,1651,PC_3,P. acuta,30,4,Ambient,134.255,71.517,108.413,149.761,126.794,103.332,
5/10/19,Time0,1592,PC_4,P. acuta,32,4,Ambient,131.913,67.781,104.482,104.889,83.069,66.963,
5/10/19,Time0,1103,PC_4,P. acuta,32,4,Ambient,131.913,67.781,104.482,149.959,128.252,100.3,
5/10/19,Time0,1044,PC_4,P. acuta,32,4,Ambient,131.913,67.781,104.482,133.857,107.294,83.557,
5/10/19,Time0,2191,PC_4,P. acuta,32,4,Ambient,131.913,67.781,104.482,124.559,99.026,82.242,
5/10/19,Time0,1115,PC_4,P. acuta,32,4,Ambient,131.913,67.781,104.482,154.281,135.503,116.525,
5/10/19,Time0,2999,MC_206,M. capitata,33,5,High,137.027,76.032,112.199,102.662,78.074,63.462,Top bleached
5/10/19,Time0,1598,MC_206,M. capitata,33,5,High,137.027,76.032,112.199,126.183,101.973,84.356,Whole section/half is pale
5/10/19,Time0,1307,MC_206,M. capitata,33,5,High,137.027,76.032,112.199,121.302,99.036,86.196,one side is pale
5/10/19,Time0,2025,MC_206,M. capitata,33,5,High,137.027,76.032,112.199,124.894,102.088,86.613,Tips pale
5/10/19,Time0,1744,MC_206,M. capitata,33,5,High,137.027,76.032,112.199,119.017,94.194,78.366,
5/10/19,Time0,2019,MC_206,M. capitata,33,5,High,137.027,76.032,112.199,97.406,75.604,90.117,Tips and top section pale
5/10/19,Time0,1303,MC_291,M. capitata,35,5,High,141.062,75.86,112.467,115.05,89.891,69.081,Tips pale
5/10/19,Time0,1475,MC_291,M. capitata,35,5,High,141.062,75.86,112.467,140.874,114.596,89.548,slightly pale
5/10/19,Time0,1239,MC_291,M. capitata,35,5,High,141.062,75.86,112.467,123.14,96.223,74.974,
5/10/19,Time0,2534,MC_291,M. capitata,35,5,High,141.062,75.86,112.467,132.86,103.682,79.637,Re-glued
5/10/19,Time0,2756,MC_291,M. capitata,35,5,High,141.062,75.86,112.467,108.891,83.286,69.887,
5/10/19,Time0,1256,MC_248,M. capitata,37,5,High,143.539,74.222,107.794,158.699,134.976,114.701,Very pale
5/10/19,Time0,1565,MC_248,M. capitata,37,5,High,143.539,74.222,107.794,116.972,88.189,65.133,
5/10/19,Time0,1294,MC_248,M. capitata,37,5,High,143.539,74.222,107.794,134.525,103.65,78.52,One side pale
5/10/19,Time0,1738,MC_248,M. capitata,37,5,High,143.539,74.222,107.794,123.86,91.121,68.322,
5/10/19,Time0,1710,MC_248,M. capitata,37,5,High,143.539,74.222,107.794,120.724,92.828,70.323,
5/10/19,Time0,1418,MC_289,M. capitata,39,5,High,142.499,75.487,109.729,130.671,97.509,69.841,Slightly pale
5/10/19,Time0,1262,MC_289,M. capitata,39,5,High,142.499,75.487,109.729,135.546,107.531,83.702,Tips pale
5/10/19,Time0,2058,MC_289,M. capitata,39,5,High,142.499,75.487,109.729,169.523,145.819,122.206,Pale but heavily fragmented so hard to tell if it is stressed or just heavily fragmented
5/10/19,Time0,1713,MC_289,M. capitata,39,5,High,142.499,75.487,109.729,141.366,118.104,100.513,bleached on one side and had to be re-glued
5/10/19,Time0,2878,MC_289,M. capitata,39,5,High,142.499,75.487,109.729,129.1,108.096,91.914,
5/10/19,Time0,1240,PC_1,P. acuta,34,5,High,135.157,69.283,108.387,134.754,113.697,92.581,
5/10/19,Time0,2076,PC_1,P. acuta,34,5,High,135.157,69.283,108.387,133.714,108.876,87.122,
5/10/19,Time0,1232,PC_1,P. acuta,34,5,High,135.157,69.283,108.387,168.924,149.442,124.218,
5/10/19,Time0,2981,PC_1,P. acuta,34,5,High,135.157,69.283,108.387,128.107,102.927,87.569,
5/10/19,Time0,1751,PC_1,P. acuta,34,5,High,135.157,69.283,108.387,151.826,131.673,111.552,
5/10/19,Time0,1098,PC_2,P. acuta,36,5,High,135.913,70.696,108.31,136.804,106.85,84.795,
5/10/19,Time0,1580,PC_2,P. acuta,36,5,High,135.913,70.696,108.31,140.767,115.158,88.424,
5/10/19,Time0,1268,PC_2,P. acuta,36,5,High,135.913,70.696,108.31,152.099,129.082,102.62,
5/10/19,Time0,1168,PC_2,P. acuta,36,5,High,135.913,70.696,108.31,170.97,152.498,124.893,
5/10/19,Time0,2409,PC_2,P. acuta,36,5,High,135.913,70.696,108.31,151.561,130.165,105.728,
5/10/19,Time0,1594,PC_3,P. acuta,38,5,High,142.37,70.611,103.844,149.157,120.746,93.693,
5/10/19,Time0,1605,PC_3,P. acuta,38,5,High,142.37,70.611,103.844,166.422,139.923,110.759,
5/10/19,Time0,2001,PC_3,P. acuta,38,5,High,142.37,70.611,103.844,168.118,139.921,108.912,
5/10/19,Time0,1269,PC_3,P. acuta,38,5,High,142.37,70.611,103.844,171.277,144.081,114.748,
5/10/19,Time0,1702,PC_3,P. acuta,38,5,High,142.37,70.611,103.844,159.002,130.371,100.065,
5/10/19,Time0,1421,PC_4,P. acuta,40,5,High,141.594,70.985,105.649,113.299,84.598,67.305,
5/10/19,Time0,1599,PC_4,P. acuta,40,5,High,141.594,70.985,105.649,144.387,115.962,92.649,
5/10/19,Time0,1640,PC_4,P. acuta,40,5,High,141.594,70.985,105.649,110.503,84.61,76.704,
5/10/19,Time0,2744,PC_4,P. acuta,40,5,High,141.594,70.985,105.649,119.874,89.203,75.25,Dead spot on the top (present when fragmented)
5/10/19,Time0,2022,PC_4,P. acuta,40,5,High,141.594,70.985,105.649,128.756,103.541,92.192,
5/11/19,Time0,1753,MC_206,M. capitata,41,6,Ambient,150.681,76.505,116.219,123.927,94.143,68.435,Pale tips 
5/11/19,Time0,1052,MC_206,M. capitata,41,6,Ambient,150.681,76.505,116.219,121.134,91.671,61.047,
5/11/19,Time0,2996,MC_206,M. capitata,41,6,Ambient,150.681,76.505,116.219,114.345,86.857,66.986,
5/11/19,Time0,1625,MC_206,M. capitata,41,6,Ambient,150.681,76.505,116.219,140.697,111.845,80.256,
5/11/19,Time0,2210,MC_206,M. capitata,41,6,Ambient,150.681,76.505,116.219,112.168,85.774,77.376,
5/11/19,Time0,1210,MC_291,M. capitata,43,6,Ambient,138.011,68.506,109.856,130.845,101.282,71.339,
5/11/19,Time0,1558,MC_291,M. capitata,43,6,Ambient,138.011,68.506,109.856,118.337,90.749,65.679,
5/11/19,Time0,1427,MC_291,M. capitata,43,6,Ambient,138.011,68.506,109.856,130.956,103.956,78.474,
5/11/19,Time0,1076,MC_291,M. capitata,43,6,Ambient,138.011,68.506,109.856,122.846,95.9,71.653,
5/11/19,Time0,1604,MC_291,M. capitata,43,6,Ambient,138.011,68.506,109.856,125.005,95.214,74.511,
5/11/19,Time0,1633,MC_248,M. capitata,45,6,Ambient,142.819,71.855,110.271,132.527,103.963,70.373,
5/11/19,Time0,1161,MC_248,M. capitata,45,6,Ambient,142.819,71.855,110.271,138.991,108.032,75.393,
5/11/19,Time0,2413,MC_248,M. capitata,45,6,Ambient,142.819,71.855,110.271,146.413,121.68,94.333,Bleached on top
5/11/19,Time0,1331,MC_248,M. capitata,45,6,Ambient,142.819,71.855,110.271,134.136,104.803,74.242,
5/11/19,Time0,1462,MC_248,M. capitata,45,6,Ambient,142.819,71.855,110.271,151.464,125.457,100.182,Bleached on top
5/11/19,Time0,2565,MC_289,M. capitata,47,6,Ambient,136.937,68.629,108.482,120.204,94.958,73.108,Bleached on top
5/11/19,Time0,2874,MC_289,M. capitata,47,6,Ambient,136.937,68.629,108.482,152.623,127.248,97.791,Bleached on top
5/11/19,Time0,2741,MC_289,M. capitata,47,6,Ambient,136.937,68.629,108.482,149.257,125.335,97.831,
5/11/19,Time0,1284,MC_289,M. capitata,47,6,Ambient,136.937,68.629,108.482,136.501,111.84,87.025,
5/11/19,Time0,1603,MC_289,M. capitata,47,6,Ambient,136.937,68.629,108.482,136.884,109.532,86.081,
5/11/19,Time0,1449,PC_1,P. acuta,42,6,Ambient,137.524,67.66,106.781,103.537,76.722,58.598,
5/11/19,Time0,1156,PC_1,P. acuta,42,6,Ambient,137.524,67.66,106.781,137.983,110.353,79.689,
5/11/19,Time0,1047,PC_1,P. acuta,42,6,Ambient,137.524,67.66,106.781,153.553,130.995,102.823,
5/11/19,Time0,1556,PC_1,P. acuta,42,6,Ambient,137.524,67.66,106.781,146.414,119.886,93.563,
5/11/19,Time0,1299,PC_1,P. acuta,42,6,Ambient,137.524,67.66,106.781,111.745,85.61,71.244,
5/11/19,Time0,1577,PC_2,P. acuta,44,6,Ambient,135.463,65.195,106.529,127.456,100.329,72.058,
5/11/19,Time0,2072,PC_2,P. acuta,44,6,Ambient,135.463,65.195,106.529,146.168,116.768,85.298,
5/11/19,Time0,1230,PC_2,P. acuta,44,6,Ambient,135.463,65.195,106.529,173.404,155.202,127.203,
5/11/19,Time0,1445,PC_2,P. acuta,44,6,Ambient,135.463,65.195,106.529,155.119,135.534,113.946,
5/11/19,Time0,1632,PC_2,P. acuta,44,6,Ambient,135.463,65.195,106.529,148.628,128.641,109.807,
5/11/19,Time0,3001,PC_3,P. acuta,46,6,Ambient,139.206,71.056,107.952,152.291,124.947,86.369,
5/11/19,Time0,2854,PC_3,P. acuta,46,6,Ambient,139.206,71.056,107.952,150.486,124.649,93.422,
5/11/19,Time0,1482,PC_3,P. acuta,46,6,Ambient,139.206,71.056,107.952,161.969,138.652,107.146,
5/11/19,Time0,2554,PC_3,P. acuta,46,6,Ambient,139.206,71.056,107.952,153.304,128.505,97.128,
5/11/19,Time0,1310,PC_3,P. acuta,46,6,Ambient,139.206,71.056,107.952,148.685,123.211,96.554,
5/11/19,Time0,2088,PC_4,P. acuta,48,6,Ambient,135.065,67.344,107.182,123.188,94.188,76.068,
